dimarray,threads,init,countingsort,user,elapsed,sys,pCPU
80000000,1,0.468535,1.201862,1.553,1.697,0.144,100.00
80000000,1,0.421647,0.842637,1.127,1.291,0.164,100.00
80000000,1,0.422051,0.839552,1.080,1.288,0.208,100.00
80000000,1,0.428879,0.846205,1.073,1.302,0.228,100.00
80000000,1,0.420706,0.842735,1.114,1.290,0.176,100.00
80000000,1,0.421363,0.881292,1.201,1.329,0.128,100.00
80000000,1,0.423043,0.836251,1.102,1.286,0.184,100.00
80000000,1,0.429929,0.844755,1.113,1.301,0.188,100.00
80000000,1,0.420943,0.849062,1.136,1.296,0.160,100.00
80000000,1,0.422266,0.915684,1.167,1.367,0.200,100.00
80000000,1,0.474570,0.935552,1.265,1.438,0.172,100.00
80000000,1,0.422469,0.876240,1.194,1.326,0.132,100.00
80000000,1,0.421136,1.132939,1.385,1.581,0.196,100.00
80000000,1,0.421967,0.840946,1.062,1.290,0.228,100.00
80000000,1,0.421597,0.860830,1.146,1.310,0.164,100.00
80000000,1,0.424671,0.841706,1.145,1.293,0.148,100.00
80000000,1,0.446808,0.947903,1.232,1.424,0.192,100.00
80000000,1,0.472157,0.949996,1.235,1.451,0.216,100.00
80000000,1,0.473293,0.956980,1.275,1.459,0.184,100.00
80000000,1,0.470304,0.948976,1.292,1.448,0.156,100.00
80000000,1,0.466539,0.861462,1.154,1.355,0.200,99.99
80000000,1,0.421145,0.842578,1.143,1.291,0.148,100.00
80000000,1,0.420953,0.869364,1.153,1.317,0.164,99.99
80000000,1,0.420787,0.827610,1.127,1.275,0.148,100.00
80000000,1,0.423239,0.938739,1.238,1.389,0.152,100.00
80000000,1,0.422915,0.836975,1.130,1.287,0.156,100.00
80000000,1,0.421097,0.909358,1.211,1.359,0.148,99.94
80000000,1,0.470912,0.937880,1.248,1.436,0.188,100.00
80000000,1,0.425536,0.903366,1.166,1.358,0.192,100.00
80000000,1,0.474898,0.940843,1.237,1.445,0.208,99.99
80000000,1,0.438409,0.845500,1.135,1.311,0.176,100.00
80000000,1,0.420066,0.885901,1.131,1.335,0.204,100.00
80000000,1,0.469560,0.945915,1.272,1.444,0.172,100.00
80000000,1,0.437807,0.869160,1.111,1.334,0.224,100.00
80000000,1,0.424938,0.890678,1.161,1.345,0.183,99.99
80000000,1,0.467363,0.943198,1.216,1.440,0.224,99.99
80000000,1,0.471344,0.945322,1.278,1.446,0.168,100.00
80000000,1,0.471481,0.969188,1.234,1.470,0.236,100.00
80000000,1,0.477496,0.951804,1.293,1.457,0.164,100.00
80000000,1,0.425068,0.854555,1.134,1.306,0.172,100.00
80000000,1,0.421434,0.912291,1.151,1.363,0.212,100.00
80000000,1,0.473778,0.950357,1.240,1.452,0.212,99.99
80000000,1,0.422664,0.861437,1.135,1.311,0.176,100.00
80000000,1,0.422866,0.862047,1.128,1.312,0.184,100.00
80000000,1,0.426946,0.856192,1.135,1.310,0.176,100.00
80000000,1,0.426591,0.859834,1.106,1.313,0.208,100.00
80000000,1,0.419762,0.819129,1.109,1.265,0.156,100.00
80000000,1,0.421632,0.850372,1.119,1.299,0.180,100.00
80000000,1,0.419655,0.818708,1.089,1.265,0.176,100.00
80000000,1,0.418894,0.827922,1.105,1.273,0.168,100.00
