dimarray,threads,init,countingsort,user,elapsed,sys,pCPU
30000,0,0.000144,3.861956,3.863,3.863,0.000,99.99
30000,0,0.000133,3.862570,3.863,3.864,0.000,99.99
30000,0,0.000133,3.858804,3.860,3.860,0.000,99.99
30000,0,0.000132,3.852360,3.853,3.853,0.000,99.99
30000,0,0.000133,3.860513,3.861,3.861,0.000,99.99
30000,0,0.000132,3.862017,3.863,3.864,0.000,99.97
30000,0,0.000133,3.859095,3.860,3.860,0.000,100.00
30000,0,0.000133,3.853464,3.854,3.854,0.000,99.99
30000,0,0.000144,3.862078,3.863,3.863,0.000,99.99
30000,0,0.000132,3.917344,3.918,3.918,0.000,99.99
30000,0,0.000143,3.944806,3.946,3.947,0.000,99.95
30000,0,0.000133,3.887211,3.888,3.889,0.000,99.98
30000,0,0.000133,3.855306,3.856,3.857,0.000,99.98
30000,0,0.000133,3.860774,3.862,3.862,0.000,99.98
30000,0,0.000133,3.863840,3.865,3.865,0.000,99.98
30000,0,0.000132,3.863094,3.864,3.865,0.000,99.97
30000,0,0.000132,3.860242,3.861,3.862,0.000,99.98
30000,0,0.000154,3.864355,3.861,3.866,0.004,99.97
30000,0,0.000133,3.868452,3.869,3.870,0.000,99.97
30000,0,0.000132,3.857114,3.854,3.858,0.004,99.99
30000,0,0.000133,3.858132,3.859,3.859,0.000,100.00
30000,0,0.000133,3.856516,3.857,3.858,0.000,99.99
30000,0,0.000133,3.863959,3.865,3.865,0.000,99.99
30000,0,0.000133,3.858533,3.859,3.860,0.000,99.99
30000,0,0.000133,3.859273,3.860,3.860,0.000,99.99
30000,0,0.000133,3.858334,3.859,3.859,0.000,99.99
30000,0,0.000133,3.860337,3.861,3.861,0.000,99.99
30000,0,0.000133,3.859269,3.860,3.860,0.000,99.99
30000,0,0.000133,3.856794,3.858,3.858,0.000,99.99
30000,0,0.000133,3.858195,3.855,3.859,0.004,99.99
30000,0,0.000133,3.862401,3.863,3.863,0.000,100.00
30000,0,0.000132,3.860364,3.861,3.861,0.000,99.99
30000,0,0.000134,3.860843,3.862,3.862,0.000,99.99
30000,0,0.000133,3.863629,3.864,3.865,0.000,99.99
30000,0,0.000132,3.854925,3.856,3.856,0.000,99.99
30000,0,0.000134,3.856015,3.857,3.857,0.000,99.99
30000,0,0.000133,3.858204,3.859,3.859,0.000,99.99
30000,0,0.000133,3.851962,3.853,3.853,0.000,99.99
30000,0,0.000133,3.861727,3.863,3.863,0.000,99.99
30000,0,0.000134,3.866269,3.867,3.867,0.000,99.99
30000,0,0.000134,3.857081,3.858,3.858,0.000,100.00
30000,0,0.000133,3.861026,3.862,3.862,0.000,99.99
30000,0,0.000134,3.863984,3.865,3.865,0.000,99.99
30000,0,0.000134,3.857197,3.858,3.858,0.000,99.99
30000,0,0.000146,3.858641,3.860,3.860,0.000,100.00
30000,0,0.000132,3.857210,3.858,3.858,0.000,99.99
30000,0,0.000133,3.859678,3.861,3.861,0.000,99.99
30000,0,0.000133,3.856466,3.857,3.857,0.000,99.99
30000,0,0.000132,3.856453,3.857,3.857,0.000,100.00
30000,0,0.000132,3.857907,3.855,3.859,0.004,99.99
