dimarray,threads,init,countingsort,user,elapsed,sys,pCPU
100000000,8,5.828135,2.011552,7.493,4.886,0.415,161.84
100000000,8,5.687765,2.065561,7.451,4.793,0.370,163.18
100000000,8,5.259086,2.065062,7.068,4.845,0.324,152.58
100000000,8,6.239158,1.873309,7.805,4.990,0.375,163.94
100000000,8,7.000325,2.061642,8.709,4.720,0.430,193.63
100000000,8,5.636759,2.146848,7.411,4.924,0.453,159.70
100000000,8,5.962964,2.188597,7.729,4.937,0.491,166.48
100000000,8,4.864728,1.940872,6.522,4.430,0.359,155.29
100000000,8,6.114315,1.990776,7.739,4.822,0.432,169.44
100000000,8,5.680766,1.811248,7.179,4.292,0.380,176.11
100000000,8,2.668030,1.864003,4.155,3.486,0.443,131.90
100000000,8,6.097984,2.005110,7.721,4.975,0.447,164.18
100000000,8,5.619054,1.861385,7.187,4.340,0.361,173.93
100000000,8,6.998054,2.170488,8.803,5.679,0.443,162.79
100000000,8,6.571325,1.898639,8.118,4.182,0.428,204.35
100000000,8,5.560091,1.989843,7.150,4.881,0.467,156.04
100000000,8,3.068605,1.847297,4.591,3.564,0.402,140.09
100000000,8,6.281973,1.829344,7.794,4.753,0.384,172.06
100000000,8,5.802684,2.000323,7.472,4.820,0.397,163.24
100000000,8,3.491220,1.846206,4.990,3.976,0.423,136.12
100000000,8,3.500862,1.855656,4.955,3.553,0.443,151.90
100000000,8,11.366287,1.321902,12.458,2.531,0.265,502.85
100000000,8,10.993630,1.488219,12.221,2.752,0.296,454.82
100000000,8,11.089368,1.427065,12.269,2.641,0.284,475.49
100000000,8,11.977413,1.287117,13.003,2.659,0.296,500.14
100000000,8,11.790594,1.527869,13.023,2.818,0.333,473.92
100000000,8,11.808119,1.374161,12.981,2.724,0.236,485.35
100000000,8,11.816954,1.327496,12.857,2.621,0.324,502.89
100000000,8,11.269432,1.266695,12.269,2.509,0.301,500.99
100000000,8,11.347328,1.282418,12.391,2.521,0.272,502.32
100000000,8,10.457031,1.325610,11.508,2.458,0.308,480.93
100000000,8,11.199268,1.331119,12.232,2.573,0.332,488.31
100000000,8,11.195617,1.486979,12.455,2.690,0.265,472.83
100000000,8,11.726927,1.337088,12.798,2.686,0.300,487.63
100000000,8,10.768819,1.328624,11.903,2.522,0.228,481.19
100000000,8,10.606627,1.247414,11.664,2.435,0.224,488.22
100000000,8,10.616860,1.323004,11.746,2.512,0.228,476.86
100000000,8,11.568590,1.209466,12.555,2.479,0.256,517.01
100000000,8,10.865900,1.306079,11.962,2.532,0.244,482.25
100000000,8,11.092038,1.360312,12.215,2.556,0.271,488.70
100000000,8,10.740230,1.278659,11.741,2.461,0.312,489.94
100000000,8,4.281868,1.380310,5.420,1.665,0.276,342.09
100000000,8,3.191539,1.273548,4.242,1.457,0.257,308.75
100000000,8,10.883001,1.252798,11.933,2.453,0.236,496.10
100000000,8,10.945515,1.375033,12.042,2.501,0.312,493.98
100000000,8,4.446514,1.547884,5.690,1.781,0.340,338.66
100000000,8,11.300898,1.314746,12.366,2.580,0.284,490.50
100000000,8,3.667668,1.292876,4.702,1.538,0.293,324.85
100000000,8,10.785134,1.327966,11.915,2.537,0.232,478.79
100000000,8,4.297991,1.300234,5.321,1.581,0.311,356.14
