dimarray,threads,init,countingsort,user,elapsed,sys,pCPU
50000,0,0.000282,5.738281,5.739,5.740,0.000,99.98
50000,0,0.000262,5.733262,5.734,5.734,0.000,99.99
50000,0,0.000294,5.725434,5.726,5.727,0.000,99.99
50000,0,0.000263,5.727715,5.729,5.729,0.000,99.99
50000,0,0.000261,5.736828,5.734,5.738,0.004,99.99
50000,0,0.000263,5.738473,5.739,5.739,0.000,100.00
50000,0,0.000291,5.733489,5.730,5.735,0.004,99.99
50000,0,0.000258,5.735078,5.736,5.736,0.000,99.99
50000,0,0.000258,5.731366,5.732,5.732,0.000,99.99
50000,0,0.000261,5.731944,5.733,5.733,0.000,99.99
50000,0,0.000284,5.742955,5.744,5.744,0.000,99.99
50000,0,0.000261,5.731273,5.732,5.733,0.000,99.99
50000,0,0.000257,5.738081,5.739,5.739,0.000,99.99
50000,0,0.000260,5.722809,5.724,5.724,0.000,99.99
50000,0,0.000258,5.739782,5.741,5.741,0.000,99.99
50000,0,0.000257,5.739824,5.737,5.741,0.004,99.99
50000,0,0.000262,5.741815,5.742,5.743,0.000,99.99
50000,0,0.000262,5.731776,5.733,5.733,0.000,100.00
50000,0,0.000260,5.733587,5.731,5.735,0.004,99.99
50000,0,0.000259,5.729634,5.731,5.731,0.000,99.99
50000,0,0.000265,5.732004,5.733,5.733,0.000,100.00
50000,0,0.000264,5.731689,5.733,5.733,0.000,99.99
50000,0,0.000265,5.728162,5.729,5.729,0.000,99.99
50000,0,0.000259,5.736679,5.738,5.738,0.000,99.99
50000,0,0.000262,5.735330,5.736,5.736,0.000,100.00
50000,0,0.000258,5.735218,5.736,5.736,0.000,100.00
50000,0,0.000263,5.730365,5.727,5.732,0.004,99.99
50000,0,0.000259,5.725472,5.726,5.728,0.000,99.97
50000,0,0.000260,5.733729,5.731,5.735,0.004,99.99
50000,0,0.000258,5.731114,5.732,5.732,0.000,99.99
50000,0,0.000264,5.728575,5.730,5.730,0.000,99.99
50000,0,0.000261,5.727590,5.729,5.729,0.000,99.99
50000,0,0.000260,5.728094,5.729,5.729,0.000,100.00
50000,0,0.000264,5.734779,5.736,5.736,0.000,99.99
50000,0,0.000260,5.734080,5.735,5.735,0.000,99.99
50000,0,0.000260,5.744440,5.745,5.746,0.000,99.99
50000,0,0.000259,5.733739,5.735,5.735,0.000,99.99
50000,0,0.000259,5.719275,5.720,5.720,0.000,99.99
50000,0,0.000263,5.745959,5.747,5.748,0.000,99.97
50000,0,0.000260,5.729594,5.731,5.732,0.000,99.97
50000,0,0.000259,5.727894,5.729,5.730,0.000,99.97
50000,0,0.000259,5.729621,5.731,5.732,0.000,99.97
50000,0,0.000260,5.722040,5.723,5.725,0.000,99.97
50000,0,0.000258,5.727338,5.728,5.729,0.000,99.98
50000,0,0.000262,5.736157,5.737,5.737,0.000,99.99
50000,0,0.000259,5.740727,5.742,5.743,0.000,99.97
50000,0,0.000260,5.735603,5.737,5.738,0.000,99.97
50000,0,0.000259,5.735106,5.736,5.738,0.000,99.97
50000,0,0.000257,5.728202,5.729,5.730,0.000,99.99
50000,0,0.000283,5.729762,5.731,5.732,0.000,99.97
