dimarray,threads,init,countingsort,user,elapsed,sys,pCPU
50000,32,0.006186,11.325237,11.329,1.440,0.004,787.56
50000,32,0.006716,11.441639,11.422,1.445,0.028,792.93
50000,32,0.006468,11.399130,11.403,1.450,0.004,787.23
50000,32,0.007671,11.384568,11.390,1.434,0.004,794.53
50000,32,0.007257,11.406777,11.404,1.446,0.012,789.45
50000,32,0.003832,10.901131,10.906,1.381,0.000,790.32
50000,32,0.007344,11.377160,11.351,1.442,0.036,789.65
50000,32,0.007944,11.447523,11.457,1.447,0.000,792.32
50000,32,0.003888,10.929157,10.935,1.388,0.000,787.80
50000,32,0.007142,11.400694,11.401,1.450,0.008,787.39
50000,32,0.005312,11.418538,11.425,1.455,0.000,785.24
50000,32,0.003100,11.219530,11.216,1.423,0.008,789.31
50000,32,0.006875,11.338580,11.343,1.440,0.004,787.97
50000,32,0.006639,11.406574,11.410,1.449,0.004,787.76
50000,32,0.006401,11.423114,11.423,1.448,0.008,789.43
50000,32,0.006409,11.423071,11.427,1.447,0.004,789.98
50000,32,0.004097,10.858572,10.840,1.378,0.024,788.97
50000,32,0.007302,11.350136,11.359,1.452,0.000,782.29
50000,32,0.006569,11.386477,11.395,1.448,0.000,787.45
50000,32,0.007529,11.429900,11.439,1.440,0.000,794.93
50000,32,0.005289,11.407039,11.406,1.451,0.008,787.16
50000,32,0.003272,10.898919,10.900,1.375,0.004,792.99
50000,32,0.006169,11.413498,11.417,1.447,0.004,789.84
50000,32,0.005870,11.472731,11.476,1.454,0.004,790.09
50000,32,0.006893,11.424044,11.433,1.449,0.000,788.99
50000,32,0.006657,11.379512,11.364,1.442,0.024,790.26
50000,32,0.006657,11.376427,11.385,1.445,0.000,787.86
50000,32,0.005939,11.408672,11.416,1.460,0.000,781.92
50000,32,0.007273,11.393852,11.403,1.449,0.000,786.92
50000,32,0.004175,11.067845,11.074,1.398,0.000,792.09
50000,32,0.004263,10.983059,10.989,1.390,0.000,791.15
50000,32,0.007076,11.388898,11.398,1.444,0.000,789.30
50000,32,0.008299,11.412643,11.422,1.445,0.000,790.48
50000,32,0.003512,11.179798,11.181,1.422,0.004,787.11
50000,32,0.004194,10.710574,10.696,1.349,0.020,794.39
50000,32,0.007090,11.439862,11.420,1.454,0.028,787.37
50000,32,0.006624,11.446315,11.450,1.451,0.004,789.41
50000,32,0.003752,11.062151,11.063,1.403,0.004,788.83
50000,32,0.003670,11.197020,11.194,1.424,0.008,787.22
50000,32,0.003683,11.093354,11.099,1.412,0.000,786.01
50000,32,0.003583,10.898555,10.884,1.378,0.020,791.27
50000,32,0.006640,11.431862,11.436,1.452,0.004,788.41
50000,32,0.007752,11.366983,11.364,1.439,0.012,790.56
50000,32,0.006500,11.405358,11.413,1.442,0.000,792.04
50000,32,0.006630,11.395300,11.399,1.444,0.004,790.26
50000,32,0.007567,11.378915,11.388,1.443,0.000,789.72
50000,32,0.004121,11.193652,11.199,1.427,0.000,784.81
50000,32,0.007303,11.415376,11.420,1.447,0.004,789.50
50000,32,0.007400,11.406047,11.407,1.448,0.008,788.32
50000,32,0.003223,11.225264,11.230,1.420,0.000,791.40
