dimarray,threads,init,countingsort,user,elapsed,sys,pCPU
50000,4,0.000634,8.070414,8.074,2.041,0.000,395.50
50000,4,0.002512,8.219375,8.223,2.065,0.004,398.35
50000,4,0.000855,8.155451,8.162,2.041,0.000,399.86
50000,4,0.000445,8.105113,8.111,2.029,0.000,399.69
50000,4,0.000390,7.947232,7.949,2.008,0.000,395.93
50000,4,0.000767,8.234918,8.240,2.070,0.000,397.99
50000,4,0.000412,7.727598,7.735,1.939,0.000,398.87
50000,4,0.000737,8.215227,8.216,2.059,0.004,399.27
50000,4,0.001249,8.259555,8.265,2.080,0.000,397.39
50000,4,0.000791,8.094582,8.100,2.026,0.000,399.84
50000,4,0.000873,8.135870,8.139,2.043,0.000,398.47
50000,4,0.000748,8.212535,8.217,2.069,0.000,397.19
50000,4,0.002475,8.235366,8.241,2.071,0.000,397.88
50000,4,0.002477,8.192925,8.199,2.052,0.000,399.60
50000,4,0.000910,8.240359,8.239,2.078,0.004,396.77
50000,4,0.000826,8.122199,8.120,2.035,0.016,399.86
50000,4,0.000803,8.209817,8.212,2.056,0.000,399.52
50000,4,0.000829,8.054941,8.057,2.028,0.000,397.30
50000,4,0.000828,8.161998,8.165,2.048,0.000,398.77
50000,4,0.000784,8.167719,8.176,2.045,0.000,399.86
50000,4,0.000929,8.253349,8.261,2.068,0.000,399.50
50000,4,0.000818,8.172764,8.178,2.055,0.000,397.91
50000,4,0.000787,8.169656,8.173,2.050,0.000,398.80
50000,4,0.000436,8.125853,8.128,2.046,0.000,397.24
50000,4,0.000766,8.169734,8.178,2.045,0.000,399.86
50000,4,0.002516,8.141198,8.146,2.066,0.000,394.24
50000,4,0.000728,8.202179,8.206,2.056,0.000,399.06
50000,4,0.000740,8.189046,8.191,2.062,0.000,397.27
50000,4,0.000765,8.218304,8.223,2.058,0.000,399.64
50000,4,0.001188,8.228637,8.230,2.071,0.004,397.50
50000,4,0.001046,7.897054,7.900,1.987,0.000,397.50
50000,4,0.001423,8.208123,8.214,2.056,0.000,399.49
50000,4,0.000849,8.148539,8.153,2.043,0.000,399.07
50000,4,0.000437,8.083742,8.082,2.029,0.004,398.50
50000,4,0.000766,8.217848,8.220,2.075,0.000,396.11
50000,4,0.000726,8.210079,8.214,2.081,0.000,394.71
50000,4,0.001859,8.161553,8.173,2.044,0.000,399.85
50000,4,0.000765,8.250810,8.245,2.069,0.008,398.95
50000,4,0.000810,8.201234,8.208,2.053,0.000,399.83
50000,4,0.000812,8.256656,8.262,2.078,0.000,397.71
50000,4,0.000860,8.197344,8.201,2.061,0.000,397.99
50000,4,0.000760,8.230560,8.236,2.069,0.000,397.96
50000,4,0.000727,8.222935,8.223,2.067,0.004,398.08
50000,4,0.001553,8.180167,8.186,2.056,0.000,398.19
50000,4,0.000844,8.196533,8.199,2.061,0.000,397.81
50000,4,0.000411,8.129221,8.131,2.035,0.000,399.51
50000,4,0.000435,8.076640,8.086,2.023,0.004,399.86
50000,4,0.000772,8.249198,8.255,2.083,0.000,396.30
50000,4,0.000393,8.171642,8.177,2.046,0.000,399.74
50000,4,0.002488,8.253983,8.258,2.074,0.000,398.17
