dimarray,threads,init,countingsort,user,elapsed,sys,pCPU
80000000,1,0.422789,0.843241,1.141,1.293,0.152,100.00
80000000,1,0.419570,0.845076,1.084,1.291,0.208,99.99
80000000,1,0.419448,0.941011,1.206,1.390,0.184,100.00
80000000,1,0.475666,0.954717,1.235,1.459,0.224,100.00
80000000,1,0.465151,0.953033,1.244,1.448,0.204,99.99
80000000,1,0.470193,0.968035,1.300,1.468,0.168,100.00
80000000,1,0.466568,0.951423,1.247,1.447,0.200,100.00
80000000,1,0.468524,0.944820,1.247,1.443,0.196,100.00
80000000,1,0.466573,1.384571,1.718,1.878,0.160,100.00
80000000,1,0.416229,0.842658,1.113,1.286,0.172,100.00
80000000,1,0.418397,0.845684,1.099,1.291,0.192,100.00
80000000,1,0.417262,0.917303,1.202,1.362,0.160,99.99
80000000,1,0.421982,0.841352,1.094,1.290,0.196,100.00
80000000,1,0.420441,0.841677,1.093,1.289,0.196,100.00
80000000,1,0.416569,0.900118,1.158,1.345,0.188,99.99
80000000,1,0.469364,0.979689,1.241,1.478,0.236,100.00
80000000,1,0.427994,0.842170,1.105,1.297,0.192,100.00
80000000,1,0.417586,0.943338,1.206,1.391,0.184,100.00
80000000,1,0.474951,0.951858,1.228,1.456,0.228,100.00
80000000,1,0.467998,0.952604,1.254,1.450,0.196,100.00
80000000,1,0.467130,0.878310,1.201,1.373,0.172,100.00
80000000,1,0.423023,0.844412,1.106,1.294,0.188,100.00
80000000,1,0.420034,0.884917,1.157,1.334,0.176,100.00
80000000,1,0.467623,0.951615,1.269,1.449,0.180,100.00
80000000,1,0.438633,0.879557,1.171,1.346,0.176,100.00
80000000,1,0.421732,0.890002,1.152,1.340,0.188,100.00
80000000,1,0.466617,0.973700,1.297,1.469,0.172,100.00
80000000,1,0.426962,0.864951,1.166,1.319,0.152,100.00
80000000,1,0.416740,0.854182,1.082,1.298,0.216,100.00
80000000,1,0.420759,0.881969,1.142,1.330,0.188,100.00
80000000,1,0.422511,0.844676,1.070,1.294,0.224,100.00
80000000,1,0.417731,0.847809,1.164,1.292,0.128,100.00
80000000,1,0.417238,0.848147,1.136,1.292,0.156,100.00
80000000,1,0.420241,0.858681,1.127,1.307,0.180,100.00
80000000,1,0.420996,0.843167,1.082,1.291,0.208,99.94
80000000,1,0.416479,0.842687,1.154,1.286,0.132,100.00
80000000,1,0.416461,0.848955,1.136,1.292,0.156,100.00
80000000,1,0.419837,0.844399,1.139,1.291,0.152,100.00
80000000,1,0.423019,0.895094,1.180,1.348,0.168,100.00
80000000,1,0.472556,0.950091,1.236,1.452,0.216,100.00
80000000,1,0.443089,0.842099,1.112,1.312,0.200,99.99
80000000,1,0.416775,0.846633,1.114,1.290,0.176,100.00
80000000,1,0.417359,0.842758,1.147,1.287,0.140,100.00
80000000,1,0.426453,0.949125,1.245,1.405,0.160,100.00
80000000,1,0.471335,0.906551,1.253,1.405,0.152,100.00
80000000,1,0.419153,0.847356,1.125,1.293,0.168,100.00
80000000,1,0.429867,0.955721,1.231,1.415,0.184,100.00
80000000,1,0.472533,1.019709,1.318,1.523,0.204,100.00
80000000,1,0.472687,0.948175,1.253,1.449,0.196,100.00
80000000,1,0.423644,0.847083,1.122,1.298,0.176,100.00
