dimarray,threads,init,countingsort,user,elapsed,sys,pCPU
50000000,16,7.991156,0.532924,8.395,1.251,0.148,682.77
50000000,16,8.936188,0.636237,9.448,1.449,0.144,662.18
50000000,16,3.942052,0.704329,4.527,1.018,0.141,458.57
50000000,16,9.325220,0.701147,9.823,1.562,0.226,643.34
50000000,16,2.609593,0.688541,3.140,0.925,0.181,359.15
50000000,16,3.125651,0.665733,3.590,0.943,0.224,404.28
50000000,16,9.559808,0.690265,10.048,1.593,0.224,645.22
50000000,16,9.380369,0.670481,9.899,1.552,0.172,648.87
50000000,16,9.410819,0.690655,9.917,1.592,0.205,635.85
50000000,16,9.080675,0.786283,9.695,1.751,0.197,565.09
50000000,16,9.768595,0.625718,10.210,1.477,0.204,705.55
50000000,16,9.173909,0.631185,9.693,1.449,0.132,678.04
50000000,16,8.758698,0.742846,9.323,1.532,0.200,621.55
50000000,16,8.955339,0.550162,9.315,1.347,0.208,707.16
50000000,16,2.561116,0.501899,2.948,0.705,0.133,436.92
50000000,16,8.468057,0.599246,8.947,1.364,0.140,666.18
50000000,16,9.538448,0.622888,10.021,1.475,0.160,690.71
50000000,16,9.180123,0.613887,9.642,1.437,0.172,682.78
50000000,16,2.369164,0.537276,2.745,0.728,0.180,401.58
50000000,16,2.136516,0.539423,2.557,0.710,0.137,379.67
50000000,16,8.604598,0.611426,9.103,1.367,0.132,675.60
50000000,16,8.547743,0.622916,9.002,1.414,0.188,649.82
50000000,16,9.313777,0.628386,9.806,1.435,0.156,694.23
50000000,16,8.520344,0.543874,8.930,1.318,0.152,689.32
50000000,16,8.426265,0.551607,8.836,1.300,0.160,691.90
50000000,16,9.121852,0.570177,9.577,1.384,0.133,701.74
50000000,16,7.939512,0.522936,8.364,1.245,0.116,681.26
50000000,16,7.880520,0.527236,8.310,1.236,0.116,681.60
50000000,16,8.135842,0.500792,8.491,1.238,0.164,698.88
50000000,16,3.727921,0.662430,4.240,0.962,0.170,458.45
50000000,16,9.013403,0.619705,9.497,1.403,0.156,687.80
50000000,16,9.455874,0.639044,9.923,1.477,0.192,685.27
50000000,16,9.279547,0.624951,9.784,1.448,0.140,685.44
50000000,16,9.093063,0.541635,9.504,1.355,0.148,712.32
50000000,16,7.674439,0.544021,8.065,1.243,0.171,662.50
50000000,16,8.170430,0.537541,8.570,1.259,0.156,693.17
50000000,16,8.003888,0.562883,8.408,1.279,0.177,671.21
50000000,16,7.889798,0.547498,8.295,1.246,0.160,678.75
50000000,16,7.685795,0.541798,8.102,1.243,0.143,663.30
50000000,16,8.294773,0.542889,8.723,1.273,0.132,695.79
50000000,16,8.375920,0.548359,8.778,1.279,0.164,699.36
50000000,16,7.869123,0.510153,8.249,1.224,0.148,685.91
50000000,16,8.037616,0.544981,8.473,1.280,0.128,672.06
50000000,16,7.811452,0.545130,8.234,1.252,0.140,669.16
50000000,16,8.260090,0.542444,8.664,1.269,0.156,695.22
50000000,16,2.848968,0.556523,3.259,0.804,0.165,425.85
50000000,16,9.250695,0.654358,9.757,1.470,0.168,675.16
50000000,16,8.960619,0.646758,9.483,1.457,0.144,660.63
50000000,16,3.120910,0.596904,3.549,0.850,0.188,439.79
50000000,16,9.370284,0.590561,9.808,1.426,0.172,699.93
