dimarray,threads,init,countingsort,user,elapsed,sys,pCPU
80000000,2,1.748373,0.890865,2.499,1.734,0.168,153.81
80000000,2,1.593635,0.816140,2.264,1.596,0.172,152.60
80000000,2,1.822964,0.907802,2.518,1.789,0.240,154.17
80000000,2,1.735402,0.923511,2.490,1.762,0.196,152.48
80000000,2,1.704147,0.894388,2.417,1.721,0.208,152.56
80000000,2,1.528196,0.899171,2.278,1.644,0.176,149.32
80000000,2,1.765967,0.869383,2.510,1.721,0.152,154.68
80000000,2,1.815159,0.869536,2.527,1.746,0.184,155.32
80000000,2,1.702979,0.872729,2.446,1.700,0.156,153.10
80000000,2,0.936051,0.820389,1.612,1.318,0.172,135.38
80000000,2,0.857017,1.170711,1.859,1.574,0.195,130.49
80000000,2,1.863396,1.011384,2.692,1.909,0.212,152.15
80000000,2,0.966195,0.885586,1.663,1.338,0.216,140.41
80000000,2,0.785019,0.903036,1.543,1.309,0.172,131.00
80000000,2,0.812909,0.859348,1.498,1.277,0.200,133.03
80000000,2,2.160021,0.904682,2.925,1.953,0.168,158.42
80000000,2,2.037246,0.976310,2.815,1.960,0.228,155.26
80000000,2,1.043357,0.896720,1.765,1.444,0.204,136.33
80000000,2,2.326566,0.908852,3.062,2.054,0.200,158.81
80000000,2,1.768255,0.872580,2.487,1.724,0.180,154.69
80000000,2,0.900905,0.927501,1.671,1.363,0.185,136.07
80000000,2,2.627048,0.847913,3.346,2.137,0.156,163.88
80000000,2,1.695811,0.870742,2.390,1.698,0.203,152.70
80000000,2,0.810497,0.714989,1.384,1.144,0.168,135.69
80000000,2,1.963643,0.984603,2.745,1.932,0.232,154.07
80000000,2,1.167546,0.781332,1.780,1.387,0.196,142.44
80000000,2,1.552465,0.935663,2.325,1.703,0.192,147.80
80000000,2,1.920305,0.960684,2.708,1.889,0.200,153.97
80000000,2,1.797175,0.896240,2.532,1.765,0.188,154.10
80000000,2,0.826102,0.867669,1.505,1.250,0.216,137.67
80000000,2,1.762561,0.869995,2.475,1.723,0.184,154.38
80000000,2,1.759098,0.873022,2.498,1.722,0.160,154.43
80000000,2,1.845550,0.910487,2.611,1.805,0.172,154.24
80000000,2,1.812705,0.830235,2.466,1.711,0.204,156.06
80000000,2,0.893440,0.788790,1.507,1.241,0.203,137.75
80000000,2,1.521077,0.968580,2.361,1.715,0.156,146.73
80000000,2,0.910432,0.772853,1.502,1.257,0.208,136.01
80000000,2,3.228491,0.893031,3.988,2.476,0.160,167.56
80000000,2,1.807631,0.916716,2.572,1.789,0.180,153.82
80000000,2,0.771686,0.878245,1.490,1.274,0.188,131.75
80000000,2,1.731175,0.854500,2.432,1.687,0.180,154.82
80000000,2,0.853452,1.105095,1.813,1.509,0.172,131.56
80000000,2,0.839022,0.893399,1.552,1.322,0.208,133.07
80000000,2,1.713746,0.953743,2.517,1.774,0.180,151.97
80000000,2,1.829592,0.995517,2.614,1.876,0.240,152.17
80000000,2,0.818463,0.837337,1.500,1.272,0.185,132.47
80000000,2,2.123358,0.968091,2.950,1.993,0.168,156.44
80000000,2,0.879490,0.871482,1.569,1.281,0.208,138.68
80000000,2,1.832394,0.995996,2.661,1.881,0.196,151.91
80000000,2,2.042967,0.991894,2.890,1.979,0.172,154.76
