dimarray,threads,init,countingsort,user,elapsed,sys,pCPU
80000000,32,13.887837,0.882568,14.534,2.041,0.264,725.39
80000000,32,14.351211,0.851614,14.983,2.034,0.248,749.16
80000000,32,14.397200,0.870552,15.004,2.060,0.292,742.86
80000000,32,13.885003,0.911395,14.587,2.064,0.240,718.69
80000000,32,15.875490,0.913411,16.529,2.214,0.288,759.90
80000000,32,13.747204,0.858386,14.409,2.001,0.224,731.28
80000000,32,13.476624,0.866801,14.125,1.990,0.248,722.61
80000000,32,16.535526,0.919896,17.240,2.281,0.244,766.46
80000000,32,14.037042,0.797287,14.646,1.959,0.216,758.65
80000000,32,13.489371,0.917915,14.195,2.044,0.240,706.20
80000000,32,4.935673,0.865074,5.557,1.216,0.271,479.42
80000000,32,15.597193,0.873451,16.278,2.166,0.220,761.67
80000000,32,4.502011,0.851443,5.101,1.177,0.281,457.40
80000000,32,4.611783,0.844994,5.276,1.174,0.209,467.27
80000000,32,15.535535,1.019690,16.342,2.263,0.244,733.23
80000000,32,5.754871,0.917283,6.434,1.334,0.265,502.32
80000000,32,14.387241,0.874767,15.093,2.063,0.196,741.47
80000000,32,5.481096,0.878829,6.065,1.275,0.323,501.19
80000000,32,13.793016,0.852214,14.453,2.003,0.220,732.55
80000000,32,14.535904,0.925419,15.234,2.129,0.256,727.90
80000000,32,4.516231,0.828135,5.084,1.159,0.289,463.49
80000000,32,13.592201,0.899178,14.271,2.031,0.248,714.86
80000000,32,5.152116,0.886988,5.807,1.267,0.259,478.96
80000000,32,3.728098,0.861126,4.395,1.120,0.223,412.30
80000000,32,13.772391,0.853934,14.409,2.000,0.244,733.01
80000000,32,3.702675,0.841480,4.307,1.094,0.265,418.06
80000000,32,14.499653,0.870601,15.122,2.074,0.276,742.78
80000000,32,14.124699,0.887767,14.741,2.039,0.299,737.98
80000000,32,5.380135,0.861451,6.008,1.250,0.262,501.58
80000000,32,13.998779,0.854764,14.661,2.030,0.220,733.06
80000000,32,5.795000,0.886874,6.409,1.316,0.300,509.88
80000000,32,5.408974,0.920997,6.137,1.311,0.220,484.92
80000000,32,14.544918,1.023007,15.290,2.214,0.308,704.52
80000000,32,15.874698,0.973846,16.566,2.282,0.312,739.60
80000000,32,15.792996,0.994110,16.557,2.296,0.260,732.44
80000000,32,5.480347,0.940168,6.092,1.332,0.358,484.31
80000000,32,14.723710,0.843718,15.307,2.065,0.288,755.55
80000000,32,3.740108,0.922522,4.413,1.182,0.280,397.07
80000000,32,16.457360,1.028899,17.247,2.394,0.268,731.63
80000000,32,14.389928,0.875503,15.074,2.042,0.220,749.30
80000000,32,5.356365,0.888923,6.010,1.272,0.263,492.96
80000000,32,5.067846,0.861633,5.683,1.232,0.276,483.60
80000000,32,16.213556,0.937881,16.904,2.286,0.276,751.86
80000000,32,13.469417,0.961391,14.169,2.092,0.292,691.27
80000000,32,16.397516,0.903630,17.009,2.258,0.320,767.79
80000000,32,13.658953,0.866190,14.206,2.009,0.347,724.38
80000000,32,5.786932,0.925857,6.504,1.349,0.236,499.86
80000000,32,13.675759,0.880706,14.343,2.017,0.241,723.40
80000000,32,13.624046,0.880125,14.303,1.992,0.228,729.85
80000000,32,4.816040,0.832488,5.420,1.183,0.256,479.68
