dimarray,threads,init,countingsort,user,elapsed,sys,pCPU
100000000,32,7.620410,1.156034,8.474,1.725,0.336,510.66
100000000,32,18.112097,1.243747,19.048,2.753,0.344,704.42
100000000,32,20.144766,1.242431,21.100,2.915,0.324,734.96
100000000,32,18.008794,1.000438,18.742,2.523,0.304,754.88
100000000,32,5.982239,1.159207,6.814,1.577,0.364,455.05
100000000,32,17.556442,1.079239,18.335,2.531,0.336,737.72
100000000,32,18.759910,1.107232,19.641,2.666,0.260,746.75
100000000,32,17.371695,1.093451,18.190,2.526,0.308,732.33
100000000,32,5.894664,1.070238,6.687,1.488,0.312,470.35
100000000,32,17.905002,1.102013,18.757,2.569,0.284,741.47
100000000,32,6.592512,1.152032,7.412,1.634,0.367,476.08
100000000,32,17.643378,1.084878,18.450,2.537,0.312,739.54
100000000,32,5.773482,1.072581,6.564,1.492,0.316,461.15
100000000,32,21.219468,1.158796,22.092,2.916,0.320,768.86
100000000,32,17.081552,1.084226,17.845,2.500,0.355,728.32
100000000,32,5.688471,1.132097,6.525,1.545,0.333,443.99
100000000,32,20.078919,1.062067,20.811,2.716,0.364,779.93
100000000,32,17.521461,1.094476,18.346,2.549,0.304,731.94
100000000,32,5.833675,1.100843,6.668,1.525,0.300,456.86
100000000,32,17.583479,1.110983,18.409,2.584,0.320,725.07
100000000,32,18.229388,1.123263,19.040,2.631,0.348,736.88
100000000,32,18.221731,1.096713,18.992,2.620,0.360,738.91
100000000,32,17.665664,1.162646,18.561,2.611,0.304,722.79
100000000,32,20.102500,1.248920,20.973,2.907,0.415,735.75
100000000,32,5.584402,1.087062,6.380,1.471,0.326,455.95
100000000,32,17.584086,1.095910,18.438,2.561,0.276,731.01
100000000,32,7.135905,1.087255,7.933,1.618,0.324,510.25
100000000,32,18.085413,1.108553,18.940,2.607,0.288,737.54
100000000,32,5.560056,1.047282,6.303,1.452,0.341,457.73
100000000,32,20.185697,1.268052,21.215,2.939,0.276,731.47
100000000,32,6.675841,1.169180,7.551,1.624,0.328,485.09
100000000,32,16.850305,1.114384,17.624,2.530,0.375,711.41
100000000,32,17.616325,1.054239,18.396,2.491,0.308,751.18
100000000,32,16.778879,1.079678,17.530,2.509,0.365,713.22
100000000,32,6.443097,1.488189,7.634,1.949,0.343,409.32
100000000,32,17.721310,1.111206,18.551,2.572,0.316,733.54
100000000,32,17.279231,1.161629,18.112,2.574,0.363,717.76
100000000,32,17.606396,1.097501,18.430,2.559,0.308,732.26
100000000,32,17.017485,1.029924,17.723,2.439,0.360,741.40
100000000,32,17.960794,1.138329,18.814,2.612,0.320,732.81
100000000,32,7.673846,1.183204,8.558,1.757,0.333,505.96
100000000,32,17.695808,1.112392,18.546,2.569,0.296,733.74
100000000,32,19.178896,1.180928,20.012,2.775,0.384,735.01
100000000,32,7.831429,1.268590,8.743,1.828,0.391,499.69
100000000,32,17.295102,1.077957,18.148,2.515,0.260,732.23
100000000,32,5.872377,1.081177,6.709,1.510,0.280,462.96
100000000,32,8.761309,1.352554,9.799,1.994,0.352,509.06
100000000,32,19.878958,1.376055,20.929,3.038,0.360,700.98
100000000,32,18.579135,1.306808,19.589,2.838,0.336,702.30
100000000,32,19.623030,1.243017,20.579,2.860,0.324,731.12
