dimarray,threads,init,countingsort,user,elapsed,sys,pCPU
30000,4,0.000521,2.881984,2.885,0.746,0.000,386.79
30000,4,0.000538,2.873701,2.875,0.730,0.000,393.79
30000,4,0.000540,2.911023,2.913,0.745,0.000,391.00
30000,4,0.000514,2.896422,2.898,0.746,0.000,388.46
30000,4,0.000568,2.881090,2.884,0.727,0.000,396.80
30000,4,0.000535,2.872177,2.876,0.724,0.000,397.19
30000,4,0.000501,2.908969,2.911,0.736,0.000,395.77
30000,4,0.000520,2.923380,2.928,0.752,0.000,389.33
30000,4,0.000513,2.878694,2.877,0.740,0.004,389.28
30000,4,0.000497,2.897769,2.900,0.738,0.000,392.96
30000,4,0.000558,2.895607,2.898,0.733,0.000,395.51
30000,4,0.000272,2.863664,2.861,0.742,0.004,386.36
30000,4,0.000578,2.888393,2.890,0.740,0.000,390.59
30000,4,0.000524,2.908279,2.910,0.748,0.000,388.91
30000,4,0.000549,2.848372,2.846,0.734,0.004,388.32
30000,4,0.000513,2.875773,2.881,0.734,0.000,392.75
30000,4,0.000574,2.888457,2.890,0.742,0.000,389.38
30000,4,0.000532,2.895317,2.889,0.730,0.008,397.05
30000,4,0.000531,2.912977,2.915,0.742,0.000,393.00
30000,4,0.000510,2.925354,2.927,0.758,0.000,386.18
30000,4,0.000502,2.884663,2.890,0.729,0.000,396.31
30000,4,0.000317,2.833229,2.835,0.722,0.000,392.71
30000,4,0.000520,2.903309,2.901,0.744,0.004,390.70
30000,4,0.000514,2.902174,2.904,0.743,0.000,391.06
30000,4,0.000855,2.890385,2.893,0.733,0.000,394.57
30000,4,0.000494,2.895939,2.900,0.729,0.000,397.68
30000,4,0.000519,2.923738,2.926,0.744,0.000,393.07
30000,4,0.000508,2.887093,2.892,0.728,0.000,397.46
30000,4,0.000300,2.858007,2.860,0.725,0.000,394.58
30000,4,0.000284,2.890317,2.892,0.734,0.000,394.05
30000,4,0.000517,2.901170,2.903,0.737,0.000,393.75
30000,4,0.000326,2.823816,2.826,0.724,0.000,390.41
30000,4,0.000564,2.870051,2.872,0.728,0.000,394.51
30000,4,0.000850,2.900487,2.905,0.731,0.000,397.18
30000,4,0.000727,2.916753,2.919,0.738,0.000,395.72
30000,4,0.000297,2.848214,2.850,0.730,0.000,390.45
30000,4,0.000579,2.896604,2.898,0.743,0.000,389.96
30000,4,0.000311,2.843282,2.845,0.732,0.000,388.49
30000,4,0.000578,2.862281,2.864,0.731,0.000,392.10
30000,4,0.000305,2.839261,2.841,0.725,0.000,391.90
30000,4,0.000281,2.827364,2.829,0.734,0.000,385.32
30000,4,0.000499,2.898155,2.900,0.735,0.000,394.61
30000,4,0.000558,2.884849,2.883,0.743,0.004,388.53
30000,4,0.000521,2.887657,2.886,0.734,0.004,393.89
30000,4,0.000312,2.880617,2.882,0.735,0.000,392.10
30000,4,0.000505,2.897567,2.899,0.733,0.000,395.77
30000,4,0.000527,2.908000,2.906,0.734,0.004,396.58
30000,4,0.000501,2.913922,2.916,0.738,0.000,394.99
30000,4,0.000519,2.916986,2.919,0.739,0.000,395.19
30000,4,0.000505,2.927056,2.925,0.750,0.004,390.37
