dimarray,threads,init,countingsort,user,elapsed,sys,pCPU
50000,32,0.006008,11.230243,11.238,1.429,0.000,786.95
50000,32,0.003694,10.930079,10.927,1.384,0.008,790.69
50000,32,0.005324,11.237221,11.244,1.431,0.000,785.74
50000,32,0.006177,11.207812,11.216,1.417,0.000,792.06
50000,32,0.006858,11.292819,11.301,1.427,0.000,791.96
50000,32,0.005739,11.283004,11.290,1.453,0.000,777.55
50000,32,0.007451,11.156399,11.166,1.413,0.000,790.76
50000,32,0.003541,10.914553,10.920,1.383,0.000,790.12
50000,32,0.003389,10.952197,10.949,1.389,0.008,789.41
50000,32,0.005392,11.278179,11.281,1.427,0.004,791.39
50000,32,0.007826,11.217311,11.219,1.410,0.008,796.78
50000,32,0.003523,10.908405,10.913,1.384,0.000,788.54
50000,32,0.006121,11.222363,11.222,1.420,0.008,791.40
50000,32,0.007251,11.215728,11.212,1.421,0.012,790.45
50000,32,0.003217,11.222824,11.224,1.432,0.004,784.59
50000,32,0.004290,10.682223,10.684,1.360,0.004,786.46
50000,32,0.005380,11.247426,11.254,1.416,0.000,794.80
50000,32,0.006271,11.285123,11.289,1.433,0.004,788.61
50000,32,0.004404,10.719366,10.725,1.352,0.000,793.89
50000,32,0.007618,11.221006,11.230,1.422,0.000,789.74
50000,32,0.007016,11.216687,11.221,1.431,0.004,784.98
50000,32,0.006621,11.233265,11.238,1.436,0.004,783.38
50000,32,0.006578,11.179629,11.180,1.422,0.008,786.75
50000,32,0.008035,11.226962,11.229,1.422,0.008,790.19
50000,32,0.006496,11.219128,11.215,1.419,0.012,791.20
50000,32,0.007646,11.200061,11.209,1.416,0.000,792.17
50000,32,0.006947,11.224904,11.233,1.419,0.000,791.64
50000,32,0.006949,11.212969,11.221,1.424,0.000,788.57
50000,32,0.007228,11.227164,11.236,1.420,0.000,791.26
50000,32,0.007259,11.245315,11.238,1.430,0.016,787.55
50000,32,0.006946,11.214936,11.223,1.428,0.000,785.95
50000,32,0.004106,10.850474,10.856,1.369,0.000,792.98
50000,32,0.005228,11.271969,11.279,1.436,0.000,785.96
50000,32,0.007482,11.247517,11.257,1.430,0.000,787.16
50000,32,0.004235,10.907719,10.906,1.381,0.008,790.83
50000,32,0.007669,11.243731,11.237,1.428,0.016,788.56
50000,32,0.007513,11.195745,11.205,1.434,0.000,781.36
50000,32,0.006088,11.197289,11.205,1.413,0.000,792.99
50000,32,0.005280,11.248861,11.248,1.429,0.008,787.65
50000,32,0.007403,11.196898,11.202,1.425,0.004,786.36
50000,32,0.007631,11.211894,11.217,1.426,0.004,786.89
50000,32,0.006545,11.206642,11.203,1.424,0.012,788.10
50000,32,0.007232,11.203190,11.212,1.421,0.000,789.02
50000,32,0.005697,11.249213,11.256,1.424,0.000,790.47
50000,32,0.003806,10.704913,10.698,1.357,0.012,789.83
50000,32,0.007480,11.219924,11.229,1.428,0.000,786.90
50000,32,0.007100,11.220528,11.229,1.421,0.000,790.77
50000,32,0.006560,11.214820,11.219,1.418,0.004,791.45
50000,32,0.007156,11.207904,11.217,1.423,0.000,788.25
50000,32,0.007348,11.191243,11.188,1.430,0.012,783.76
