dimarray,threads,init,countingsort,user,elapsed,sys,pCPU
50000,16,0.005857,11.125778,11.129,1.435,0.004,776.36
50000,16,0.006111,11.210111,11.213,1.460,0.004,768.31
50000,16,0.003411,10.950471,10.955,1.417,0.000,773.12
50000,16,0.002954,10.763221,10.767,1.385,0.000,777.43
50000,16,0.005606,11.190866,11.198,1.435,0.000,780.87
50000,16,0.003468,10.938608,10.927,1.396,0.016,784.47
50000,16,0.006499,11.240629,11.217,1.423,0.032,790.49
50000,16,0.006426,11.274740,11.283,1.454,0.000,775.96
50000,16,0.003304,10.879503,10.884,1.386,0.000,785.28
50000,16,0.006648,11.211203,11.219,1.421,0.000,790.08
50000,16,0.006660,11.204271,11.212,1.440,0.000,779.17
50000,16,0.005896,11.199606,11.203,1.446,0.004,775.02
50000,16,0.005200,11.152949,11.155,1.410,0.004,792.01
50000,16,0.003193,10.851261,10.848,1.370,0.008,792.96
50000,16,0.006801,11.200152,11.208,1.438,0.000,779.43
50000,16,0.005801,11.201047,11.208,1.445,0.000,775.67
50000,16,0.003403,10.846902,10.852,1.392,0.000,779.56
50000,16,0.003281,10.965448,10.966,1.415,0.004,775.27
50000,16,0.005195,11.156663,11.163,1.433,0.000,779.56
50000,16,0.006394,11.210091,11.214,1.428,0.004,786.12
50000,16,0.005643,11.210650,11.186,1.448,0.032,775.25
50000,16,0.006217,11.154654,11.162,1.432,0.000,780.03
50000,16,0.006152,11.153228,11.157,1.443,0.004,773.44
50000,16,0.005874,11.165897,11.169,1.440,0.004,775.90
50000,16,0.005759,11.186197,11.193,1.414,0.000,792.16
50000,16,0.005352,11.303484,11.310,1.451,0.000,779.48
50000,16,0.003249,10.692426,10.693,1.374,0.004,778.55
50000,16,0.006085,11.176647,11.184,1.430,0.000,782.65
50000,16,0.006511,11.175700,11.184,1.417,0.000,789.80
50000,16,0.006191,11.276174,11.280,1.432,0.004,787.98
50000,16,0.006629,11.226877,11.235,1.460,0.000,769.53
50000,16,0.003350,11.048426,11.049,1.423,0.004,777.29
50000,16,0.006449,11.205343,11.209,1.420,0.004,789.65
50000,16,0.006755,11.223209,11.231,1.433,0.000,784.31
50000,16,0.006098,11.226387,11.234,1.416,0.000,793.36
50000,16,0.002616,10.782667,10.783,1.388,0.004,777.13
50000,16,0.005512,11.132939,11.136,1.429,0.004,779.55
50000,16,0.003362,10.937365,10.942,1.399,0.000,782.70
50000,16,0.006171,11.176696,11.176,1.456,0.008,768.68
50000,16,0.005628,11.149414,11.156,1.430,0.000,780.70
50000,16,0.004743,11.207265,11.205,1.427,0.008,785.79
50000,16,0.006251,11.204028,11.204,1.427,0.008,785.69
50000,16,0.006182,11.182919,11.187,1.425,0.004,785.30
50000,16,0.006396,11.235658,11.243,1.460,0.000,770.09
50000,16,0.006352,11.160423,11.169,1.418,0.000,787.62
50000,16,0.003529,10.828625,10.833,1.373,0.000,789.61
50000,16,0.003156,10.859576,10.864,1.375,0.000,790.68
50000,16,0.005950,11.281799,11.289,1.422,0.000,793.89
50000,16,0.006294,11.218563,11.218,1.440,0.008,779.60
50000,16,0.006163,11.140562,11.148,1.421,0.000,784.51
