dimarray,threads,init,countingsort,user,elapsed,sys,pCPU
30000,32,0.003985,4.071510,4.077,0.543,0.000,750.98
30000,32,0.005034,4.033426,4.036,0.527,0.004,766.77
30000,32,0.005121,4.071214,4.078,0.522,0.000,780.88
30000,32,0.004078,4.073544,4.072,0.534,0.008,763.52
30000,32,0.004774,4.038069,4.044,0.520,0.000,778.51
30000,32,0.003520,3.836410,3.841,0.494,0.000,778.25
30000,32,0.003306,3.990030,3.995,0.513,0.000,779.20
30000,32,0.005096,4.088242,4.095,0.529,0.000,774.59
30000,32,0.004644,4.084888,4.091,0.535,0.000,765.15
30000,32,0.004813,4.035292,4.042,0.519,0.000,778.74
30000,32,0.003055,3.990846,3.996,0.516,0.000,774.97
30000,32,0.004891,4.096949,4.104,0.527,0.000,778.67
30000,32,0.003079,3.946510,3.951,0.507,0.000,778.70
30000,32,0.004885,4.070355,4.077,0.529,0.000,771.26
30000,32,0.004258,4.106840,4.109,0.532,0.004,773.19
30000,32,0.005213,4.102700,4.106,0.524,0.004,783.98
30000,32,0.004857,4.092698,4.099,0.525,0.000,781.42
30000,32,0.004588,4.108888,4.115,0.527,0.000,780.40
30000,32,0.004655,4.093625,4.100,0.528,0.000,776.99
30000,32,0.003924,4.087165,4.081,0.529,0.012,773.95
30000,32,0.005403,4.084576,4.091,0.527,0.000,777.10
30000,32,0.004139,4.054762,4.049,0.525,0.012,773.00
30000,32,0.004534,4.100497,4.107,0.520,0.000,789.19
30000,32,0.003467,3.919164,3.920,0.504,0.004,779.23
30000,32,0.002647,3.963348,3.964,0.510,0.004,778.31
30000,32,0.004881,4.091729,4.094,0.533,0.004,768.60
30000,32,0.003796,4.048094,4.053,0.519,0.000,780.84
30000,32,0.002235,4.012352,3.996,0.514,0.020,781.20
30000,32,0.004438,4.073005,4.079,0.538,0.000,758.49
30000,32,0.003102,4.034283,4.039,0.531,0.000,760.78
30000,32,0.004619,4.034738,4.033,0.521,0.008,776.05
30000,32,0.003222,3.931819,3.937,0.505,0.000,779.74
30000,32,0.005332,4.081065,4.088,0.521,0.000,784.37
30000,32,0.002941,3.989143,3.994,0.514,0.000,777.71
30000,32,0.002712,3.986156,3.979,0.508,0.012,785.89
30000,32,0.004620,4.095151,4.097,0.531,0.004,772.12
30000,32,0.004482,4.074089,4.072,0.529,0.008,771.17
30000,32,0.003806,3.912711,3.918,0.500,0.000,783.78
30000,32,0.005008,4.093104,4.100,0.529,0.000,774.43
30000,32,0.003367,4.033170,4.030,0.517,0.008,781.57
30000,32,0.003977,4.104919,4.111,0.528,0.000,779.12
30000,32,0.004179,4.077431,4.083,0.528,0.000,773.91
30000,32,0.005059,4.076378,4.083,0.522,0.000,782.16
30000,32,0.004408,4.084717,4.091,0.525,0.000,778.76
30000,32,0.004186,4.099223,4.101,0.533,0.004,770.62
30000,32,0.005029,4.057663,4.060,0.533,0.004,762.82
30000,32,0.004522,4.014294,4.016,0.525,0.004,766.37
30000,32,0.004768,4.077387,4.084,0.534,0.000,765.52
30000,32,0.004146,4.058055,4.064,0.542,0.000,750.47
30000,32,0.005300,4.043373,4.042,0.520,0.008,778.29
