dimarray,threads,init,countingsort,user,elapsed,sys,pCPU
30000,1,0.000143,2.091927,2.093,2.093,0.000,100.00
30000,1,0.000133,2.092381,2.093,2.093,0.000,100.00
30000,1,0.000132,2.097597,2.099,2.099,0.000,100.00
30000,1,0.000131,2.092403,2.093,2.093,0.000,100.00
30000,1,0.000133,2.093296,2.094,2.094,0.000,100.00
30000,1,0.000132,2.089034,2.086,2.090,0.004,100.00
30000,1,0.000132,2.090616,2.087,2.092,0.004,99.99
30000,1,0.000133,2.094615,2.096,2.096,0.000,100.00
30000,1,0.000133,2.094339,2.095,2.095,0.000,100.00
30000,1,0.000133,2.092110,2.093,2.093,0.000,99.99
30000,1,0.000132,2.089742,2.091,2.091,0.000,99.99
30000,1,0.000132,2.091182,2.092,2.092,0.000,99.99
30000,1,0.000134,2.095202,2.096,2.096,0.000,100.00
30000,1,0.000133,2.092740,2.094,2.094,0.000,100.00
30000,1,0.000132,2.089710,2.091,2.091,0.000,100.00
30000,1,0.000133,2.091653,2.093,2.093,0.000,100.00
30000,1,0.000132,2.095527,2.096,2.096,0.000,100.00
30000,1,0.000132,2.087865,2.089,2.089,0.000,100.00
30000,1,0.000132,2.093110,2.094,2.094,0.000,100.00
30000,1,0.000133,2.089683,2.087,2.091,0.004,100.00
30000,1,0.000134,2.089986,2.091,2.091,0.000,100.00
30000,1,0.000134,2.086218,2.087,2.087,0.000,100.00
30000,1,0.000148,2.085456,2.082,2.086,0.004,100.00
30000,1,0.000132,2.089440,2.086,2.090,0.004,99.99
30000,1,0.000133,2.087691,2.088,2.089,0.000,100.00
30000,1,0.000133,2.088286,2.089,2.089,0.000,100.00
30000,1,0.000132,2.093232,2.094,2.094,0.000,100.00
30000,1,0.000133,2.090269,2.091,2.091,0.000,100.00
30000,1,0.000132,2.092354,2.093,2.093,0.000,100.00
30000,1,0.000134,2.099456,2.100,2.100,0.000,99.99
30000,1,0.000137,2.089126,2.090,2.090,0.000,100.00
30000,1,0.000134,2.091738,2.093,2.093,0.000,100.00
30000,1,0.000133,2.086285,2.087,2.087,0.000,100.00
30000,1,0.000133,2.089625,2.091,2.091,0.000,100.00
30000,1,0.000134,2.085837,2.087,2.087,0.000,100.00
30000,1,0.000131,2.094167,2.095,2.095,0.000,100.00
30000,1,0.000132,2.091120,2.092,2.092,0.000,100.00
30000,1,0.000133,2.087527,2.088,2.088,0.000,100.00
30000,1,0.000133,2.090124,2.091,2.091,0.000,100.00
30000,1,0.000132,2.096272,2.093,2.097,0.004,100.00
30000,1,0.000137,2.091430,2.092,2.092,0.000,100.00
30000,1,0.000134,2.091194,2.092,2.092,0.000,100.00
30000,1,0.000133,2.087537,2.088,2.088,0.000,100.00
30000,1,0.000132,2.091871,2.093,2.093,0.000,100.00
30000,1,0.000132,2.088350,2.089,2.089,0.000,100.00
30000,1,0.000132,2.096093,2.097,2.097,0.000,100.00
30000,1,0.000132,2.089965,2.091,2.091,0.000,100.00
30000,1,0.000134,2.087468,2.088,2.088,0.000,100.00
30000,1,0.000131,2.088721,2.090,2.090,0.000,100.00
30000,1,0.000133,2.087708,2.089,2.089,0.000,100.00
