dimarray,threads,init,countingsort,user,elapsed,sys,pCPU
50000,16,0.006507,11.423765,11.420,1.450,0.012,788.38
50000,16,0.003221,10.945826,10.951,1.396,0.000,784.98
50000,16,0.003319,11.061616,11.062,1.420,0.004,779.86
50000,16,0.005324,11.431204,11.438,1.449,0.000,789.89
50000,16,0.006791,11.386591,11.395,1.462,0.000,779.92
50000,16,0.006636,11.366097,11.370,1.461,0.004,779.04
50000,16,0.002411,11.297579,11.297,1.432,0.004,789.19
50000,16,0.006181,11.379032,11.379,1.470,0.008,775.13
50000,16,0.006066,11.406987,11.415,1.439,0.000,793.24
50000,16,0.006734,11.425052,11.433,1.467,0.000,779.90
50000,16,0.003452,11.148637,11.153,1.432,0.000,779.41
50000,16,0.005565,11.382191,11.385,1.455,0.004,783.28
50000,16,0.006598,11.387338,11.395,1.453,0.000,784.25
50000,16,0.006228,11.440644,11.448,1.493,0.000,767.32
50000,16,0.006267,11.308196,11.316,1.457,0.000,777.18
50000,16,0.003279,11.104458,11.109,1.420,0.000,782.34
50000,16,0.003190,11.164772,11.162,1.418,0.008,788.25
50000,16,0.005724,11.425031,11.432,1.475,0.000,775.58
50000,16,0.002731,10.956598,10.961,1.392,0.000,787.97
50000,16,0.003243,11.056597,11.061,1.415,0.000,782.28
50000,16,0.006189,11.381229,11.389,1.439,0.000,791.43
50000,16,0.006567,11.392902,11.401,1.453,0.000,784.64
50000,16,0.006863,11.418091,11.426,1.460,0.000,783.16
50000,16,0.006500,11.422736,11.431,1.477,0.000,774.42
50000,16,0.006477,11.312635,11.320,1.435,0.000,789.43
50000,16,0.005912,11.459154,11.462,1.465,0.004,783.21
50000,16,0.006196,11.417612,11.425,1.469,0.000,778.28
50000,16,0.006448,11.419735,11.428,1.439,0.000,794.68
50000,16,0.006039,11.395470,11.403,1.464,0.000,779.44
50000,16,0.003484,11.157899,11.163,1.412,0.000,790.58
50000,16,0.002751,11.177313,11.181,1.448,0.000,772.19
50000,16,0.005617,11.349584,11.356,1.446,0.000,785.91
50000,16,0.005962,11.386688,11.394,1.445,0.000,788.52
50000,16,0.006558,11.439402,11.443,1.454,0.004,787.83
50000,16,0.006432,11.434066,11.442,1.472,0.000,777.82
50000,16,0.006323,11.320179,11.328,1.452,0.000,780.69
50000,16,0.005141,11.428620,11.427,1.450,0.008,788.62
50000,16,0.002788,11.239826,11.244,1.450,0.000,775.97
50000,16,0.003185,11.082340,11.087,1.412,0.000,785.18
50000,16,0.006479,11.413055,11.413,1.440,0.008,793.66
50000,16,0.006677,11.459775,11.468,1.460,0.000,786.03
50000,16,0.006544,11.437964,11.434,1.471,0.012,778.62
50000,16,0.003130,11.070457,11.071,1.419,0.004,780.47
50000,16,0.005776,11.435400,11.439,1.458,0.004,785.37
50000,16,0.004808,11.406879,11.409,1.462,0.004,780.64
50000,16,0.005923,11.377243,11.384,1.437,0.000,792.24
50000,16,0.005521,11.422896,11.426,1.471,0.004,776.99
50000,16,0.005776,11.309562,11.313,1.477,0.004,766.71
50000,16,0.003226,11.135558,11.140,1.413,0.000,788.97
50000,16,0.006565,11.400232,11.404,1.468,0.004,777.12
